-----------------------------------------------------------------------------------------------------
N      Brute Force             Binary Search           Hash Set                Sorting and Sweeping  
-----------------------------------------------------------------------------------------------------
100      0.0002928979999999859   0.00014931500000003872  1.9573999999966674e-05  2.200200000002095e-05 
200      0.00013845299999998284  0.0003253699999999915   2.1076000000008754e-05  4.372599999996618e-05 
300      0.0051426279999999824   6.310100000000984e-05   3.0546999999991886e-05  6.049600000002098e-05 
400      0.0012095880000000392   0.00016345000000000942  1.799999999996249e-05   8.567400000003556e-05 
500      0.011437105000000003    0.00011625500000000955  2.4660000000009674e-05  0.00010524100000008918
600      0.006359341000000018    5.492600000001069e-05   1.896699999992535e-05   0.00012823300000008864
700      0.0003321370000000101   0.00010815500000005418  1.793500000002446e-05   0.00014864300000005937
800      0.05422637599999991     6.125399999989956e-05   2.3658000000037482e-05  0.0001709149999999937 
900      0.001692260000000001    0.00021853699999996312  2.1676999999997726e-05  0.00020075699999999586
1000     0.023745876             0.00030719000000001273  4.4729000000076624e-05  0.0002153400000000083 
1100     0.00016283299999997336  0.00024279000000004824  2.9504999999985237e-05  0.0002282710000000021 
1200     0.0027595990000000015   0.00011099500000000262  3.3627000000091556e-05  0.00025375999999999177
1300     0.009248850999999947    0.00013153199999993426  3.561500000004436e-05   0.00028639099999994144
1400     0.07965798099999999     0.00018259300000000867  2.8221999999966663e-05  0.0003097079999999641 
1500     0.001203551000000025    0.00033515699999997484  5.841100000003596e-05   0.0003426200000000712 
1600     0.0004758699999998228   0.00015615499999999116  3.4587000000030343e-05  0.0003486710000000226 
1700     0.0006065099999998935   0.0001517269999999904   5.444699999990199e-05   0.00036686799999996467
1800     0.0051875400000001015   0.0004377079999999811   4.125300000001886e-05   0.0004262049999999018 
1900     0.01992355499999987     0.00040624399999988903  3.986400000011159e-05   0.00041366300000000855
2000     0.33613069900000014     0.0001851700000001788   3.734299999980095e-05   0.00047482600000003927
2100     0.012764253000000059    0.0002857300000000951   4.3090999999995105e-05  0.00048013400000002093
2200     0.004146145999999851    0.00034329900000007463  0.00011687299999985079  0.0005069580000001128 
2300     0.013213488999999967    0.00019735700000023115  4.372900000015889e-05   0.0005310199999999377 
2400     0.03896857500000017     0.0002027209999999613   4.66949999999855e-05    0.0005379730000001359 
2500     0.0013627629999999336   0.00036640500000029164  4.6613999999944866e-05  0.0005508189999998692 
2600     0.00279315800000024     0.00022100699999993978  5.208100000020366e-05   0.0005766019999997596 
2700     0.0015947860000000702   0.00024578900000005177  4.9760000000009796e-05  0.0006012769999999001 
2800     0.0065821170000002205   0.0003468359999998505   4.897199999964741e-05   0.0006325469999999278 
2900     0.0025634000000001045   0.00034601200000006216  5.2940999999862015e-05  0.000690273000000019  
3000     0.010716333999999605    0.0002725980000000128   5.7438999999881446e-05  0.0006956059999998487 
3100     0.0011793600000000737   0.0011214580000000751   5.9693999999943514e-05  0.0007169450000001909 
3200     0.002078803999999934    0.0003660409999999281   5.650300000015207e-05   0.0007943070000000496 
3300     0.002469210999999749    0.0006824149999999918   6.481000000002624e-05   0.0007750040000003011 
3400     0.003059513999999819    0.00031955799999972     6.634699999974458e-05   0.0011836660000001942 
3500     0.0012773300000001875   0.0004135410000003503   7.242399999984883e-05   0.0008659490000000325 
3600     0.0009446010000000449   0.0004621910000000007   6.843599999983851e-05   0.0009912860000000911 
3700     0.0015582489999999005   0.0003661419999998472   7.091099999989581e-05   0.0011052070000001635 
3800     0.016960080999999683    0.00035125499999999477  6.482700000010055e-05   0.0008841649999999923 
3900     0.0240525159999998      0.0004182970000004005   6.988399999974249e-05   0.0009250149999999735 
4000     0.014194697999999839    0.0003764409999997831   7.69439999999122e-05    0.0009186520000001863 
4100     0.004052564000000203    0.0009867709999999974   9.123300000002388e-05   0.0010343400000003555 
4200     0.004397961000000006    0.0011147339999997286   7.473699999982486e-05   0.0011416120000000696 
4300     0.0004143729999999124   0.000426610000000327    8.241199999980964e-05   0.0012891219999997539 
4400     0.008149246000000332    0.011887603999999996    7.54980000001737e-05    0.0009853289999997017 
4500     0.003867067999999918    0.0006603079999996098   8.277000000056489e-05   0.0010440950000001337 
4600     0.009247644000000221    0.0008501810000005605   8.160600000017837e-05   0.0010279679999998237 
4700     0.05639365900000026     0.00043542099999971384  7.88790000001427e-05    0.00105574300000022   
4800     1.8944954979999995      0.0006411830000008223   7.891699999973412e-05   0.0011294079999988327 
4900     0.0011023019999996109   0.00396195999999982     8.872099999912564e-05   0.0011755789999998711 
5000     0.015434205000000034    0.0004905940000003994   8.190599999835513e-05   0.00115353099999993   
5100     0.020858430999998845    0.00045884700000087264  0.00014293399999942835  0.0011311169999999038 
5200     0.025820937000000654    0.00047430000000048267  8.731199999978401e-05   0.001196252999999814  
5300     0.017581573999999378    0.0005232209999999071   8.902099999907875e-05   0.0012193400000004573 
5400     0.008574494999999516    0.000488903999999124    8.8252999999483e-05     0.00124128799999923   
5500     0.0004820040000002024   0.0005660580000004245   8.824699999898655e-05   0.0012536400000016101 
5600     0.03062067399999968     0.0007319269999985778   0.00010412800000025868  0.0013443039999998518 
5700     0.45263674299999934     0.0005673140000013177   9.494999999937193e-05   0.0014209190000009642 
5800     0.0019471549999998672   0.0005108630000005832   0.00018966699999900527  0.001417328000000495  
5900     0.007843181000000143    0.0005483779999995164   9.47769999992687e-05    0.0013187559999998655 
6000     1.9538000000096645e-05  0.001350369999999046    0.00010154399999962038  0.0013766920000009009 
6100     0.009210934000000393    0.0006034590000005835   9.983700000049112e-05   0.001494909999999905  
6200     0.600817889             0.000752836000000201    0.0004599869999992734   0.004829392999999627  
6300     4.278199999951937e-05   0.0008504079999998027   0.00022297100000123748  0.001679028999999943  
6400     0.0007451950000003649   0.0008121289999998282   0.00016001300000034746  0.0018046369999993317 
6500     0.008342019000000533    0.0006872739999987942   0.00011646399999953871  0.0026873409999996767 
6600     0.01970487200000015     0.0006766749999993493   0.0001207230000002113   0.0028240799999998956 
6700     0.004567483999998956    0.000765741000000375    0.00013547600000052284  0.002263947999999516  
6800     0.03849710000000073     0.0006727529999999149   0.00011652799999950503  0.0017248740000006535 
6900     0.026473471999999276    0.0007592420000008815   0.00012173200000020756  0.0018575619999978699 
7000     0.0018883830000007151   0.0007602370000014957   0.00012740000000022178  0.0021415759999996453 
7100     0.016874676999997007    0.0007737589999976535   0.00012170700000169177  0.0018567160000024785 
7200     0.027517832000000908    0.0011490629999997282   0.0001389600000010205   0.0024450129999991077 
7300     0.023405700000001417    0.0008325139999989517   0.00035643600000057063  0.0018637149999989333 
7400     0.009361215999998507    0.0007577450000013641   0.00014313799999854382  0.002789289000002526  
7500     0.001367144999999681    0.0007946539999998947   0.0001273880000027816   0.0022100390000012737 
